Title,Studio,Gross,Gross (Adjusted),Year
The Twilight Saga: New Moon,Sum.,296623634,452283108,2009
Beetlejuice Beetlejuice,Warner Bros. Pictures,294100435,294100435,2024
The Sixth Sense,Buena Vista,293506292,669288405,1999
Up,Buena Vista,293004164,456510695,2009
Harry Potter and the Order of the Phoenix,Warner Brothers,292004738,493343769,2007
"The Chronicles of Narnia: The Lion, the Witch and the Wa ...",Buena Vista,291710957,525119377,2005
The Empire Strikes Back,Fox,290475067,1141232477,1980
Harry Potter and the Goblet of Fire,Warner Brothers,290013036,525108525,2005
"Monsters, Inc.",Buena Vista,289916256,573670919,2001
Home Alone,Fox,285761243,787328979,1990
Dune: Part Two,Warner Bros. Pictures,282144358,282144358,2024
The Matrix Reloaded,Warner Brothers,281576461,542784290,2003
Meet the Fockers,Universal,279261160,513458571,2004
Twisters,Universal Pictures,267762265,267762265,2024
Shrek,Dreamworks,267665011,549696988,2001
Harry Potter and the Chamber of Secrets,Warner Brothers,261988482,522093397,2002
The Incredibles,Buena Vista,261441092,488547937,2004
How the Grinch Stole Christmas,Universal,260044825,559184313,2000
Jaws,Universal,260000000,1488763019,1975
Batman,Warner Brothers,251188924,731772167,1989
Men in Black,Sony,250690539,634853443,1997
Harry Potter and the Prisoner of Azkaban,Warner Brothers,249541069,467087964,2004
Raiders of the Lost Ark,Paramount,248159971,1029017926,1981
Toy Story 2,Buena Vista,245852179,556042356,1999
Bruce Almighty,Universal,242829261,468092788,2003
Ghostbusters,Columbia,242212467,827309372,1984
Twister,Warner Brothers,241721524,635684107,1996
My Big Fat Greek Wedding,IFC,241438208,481451925,2002
Beverly Hills Cop,Paramount,234760478,780538664,1984
Cast Away,Fox,233632142,486969898,2000
The Exorcist,Warner Brothers,232906145,1285582988,1973
The Lost World: Jurassic Park,Universal,229086679,580143508,1997
Signs,Buena Vista,227966634,456044174,2002
Rush Hour 2,Newline,226164286,464468097,2001
Mrs. Doubtfire,Fox,219195243,612392960,1993
Beauty and the Beast,Buena Vista,218967620,527298873,1991
Ghost,Paramount,217631306,598221595,1990
Aladdin,Buena Vista,217350219,609579581,1992
Saving Private Ryan,Dreamworks,216540909,531755013,1998
Mission: Impossible II,Paramount,215409889,464542102,2000
Back to the Future,Universal,210609762,686393178,1985
